Algorithm,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,MSE,SMAPE,Dropped drifting
Linear regression,Medium,Sudden Shock,Large,Important,3 days,24.624556677425783,3.0,False
Linear regression,Medium,Sudden Shock,Small,Important,7 days,24.15836708321681,2.97,False
Linear regression,Medium,Sudden Shock,Large,Important,7 days,25.831253689605628,3.06,False
Linear regression,Unimportant,Sudden Drift,Small,Important,Training,25.014987221574472,2.84,False
Linear regression,Unimportant,Sudden Drift,Small,Important,Training/Test,27.06796170407519,2.93,False
Linear regression,Unimportant,Sudden Drift,Small,Important,Test,51.442049026193246,4.29,False
Linear regression,Unimportant,Sudden Drift,Small,Medium,Training,24.68635790536749,2.93,False
Linear regression,Unimportant,Sudden Drift,Small,Medium,Training/Test,24.982096777730845,2.94,False
Linear regression,Unimportant,Sudden Drift,Small,Medium,Test,51.64814689226884,4.35,False
Linear regression,Unimportant,Sudden Drift,Small,Unimportant,Training,24.405611538205008,2.97,True
Linear regression,Unimportant,Sudden Drift,Small,Unimportant,Training/Test,23.32193385553357,2.91,True
Linear regression,Unimportant,Sudden Drift,Small,Unimportant,Test,24.55386890272248,2.98,True
Linear regression,Unimportant,Sudden Drift,Large,Important,Training,30.457686276061263,2.67,False
Linear regression,Unimportant,Sudden Drift,Large,Important,Training/Test,34.13589867056159,2.8,False
Linear regression,Unimportant,Sudden Drift,Large,Important,Test,229.92630730706625,9.12,False
Linear regression,Unimportant,Sudden Drift,Large,Medium,Training,26.902809920781603,2.84,False
Linear regression,Unimportant,Sudden Drift,Large,Medium,Training/Test,27.367368630027027,2.85,False
Linear regression,Unimportant,Sudden Drift,Large,Medium,Test,515.8475196496906,16.8,False
Linear regression,Unimportant,Sudden Drift,Large,Unimportant,Training,31.06075692544654,3.34,True
Linear regression,Unimportant,Sudden Drift,Large,Unimportant,Training/Test,33.99397455476119,3.56,True
Linear regression,Unimportant,Sudden Drift,Large,Unimportant,Test,40.9213850394077,3.99,True
Linear regression,Unimportant,Incremental Drift,Small,Important,Training,25.910836553503312,2.9,False
Linear regression,Unimportant,Incremental Drift,Small,Important,Training/Test,29.293911929813504,3.06,False
Linear regression,Unimportant,Incremental Drift,Small,Important,Test,31.08364996259152,3.17,False
Linear regression,Unimportant,Incremental Drift,Small,Medium,Training,24.76614434669259,2.94,False
Linear regression,Unimportant,Incremental Drift,Small,Medium,Training/Test,25.286891963223653,2.97,False
Linear regression,Unimportant,Incremental Drift,Small,Medium,Test,46.83043298630594,4.1,False
Linear regression,Unimportant,Incremental Drift,Small,Unimportant,Training,24.84084370735413,2.99,True
Linear regression,Unimportant,Incremental Drift,Small,Unimportant,Training/Test,24.98134900664968,2.99,True
Linear regression,Unimportant,Incremental Drift,Small,Unimportant,Test,23.856064745989418,2.93,True
Linear regression,Unimportant,Incremental Drift,Large,Important,Training,31.76435030239048,2.74,False
Linear regression,Unimportant,Incremental Drift,Large,Important,Training/Test,32.48634250680991,2.74,False
Linear regression,Unimportant,Incremental Drift,Large,Important,Test,255.519898715167,9.44,False
Linear regression,Unimportant,Incremental Drift,Large,Medium,Training,27.782315808769464,2.89,False
